OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SPACEMOBILE-003,2024-163A,2026-08-14T10:41:54.668832,15.20681422,.0003059,52.9766,41.5481,310.8811,49.1918,0,U,61045,999,10663,.21453E-4,.152E-5,0
SPACEMOBILE-005,2024-163B,2026-08-16T20:40:33.228480,15.20709825,.00075251,52.9784,30.4100,310.0124,50.0209,0,U,61046,999,10699,.13361845E-3,.265E-4,0
SPACEMOBILE-001,2024-163C,2026-08-16T20:38:33.868608,15.20496697,.00053422,52.9735,30.1134,316.9744,43.0832,0,U,61047,999,10699,.70962068E-4,.1245E-4,0
SPACEMOBILE-002,2024-163D,2026-08-13T16:35:53.693088,15.20528778,.00039888,52.9733,44.7660,291.9988,68.0582,0,U,61048,999,10651,.43847661E-3,.9401E-4,0
SPACEMOBILE-004,2024-163E,2026-08-13T17:42:31.693248,15.20526923,.00060861,52.9739,44.3062,327.2665,32.7951,0,U,61049,999,10652,.39988451E-3,.8544E-4,0
SPACEMOBILE-001 DEB,2024-163F,2026-08-16T18:50:30.600096,15.35886942,.00076313,52.9949,354.2951,6.3780,353.7317,0,U,62369,999,9581,.1767672E-3,.5887E-4,0
SPACEMOBILE-002 DEB,2024-163G,2026-08-16T18:31:16.280544,15.44903521,.00073788,52.9430,336.2558,26.9891,333.1496,0,U,62370,999,10772,.3149571E-3,.14652E-3,0
SPACEMOBILE-003 DEB,2024-163H,2026-08-16T17:22:26.594688,15.42626652,.00077413,52.9714,344.0164,354.3175,5.7740,0,U,62371,999,10122,.33963922E-3,.1464E-3,0
SPACEMOBILE-004 DEB,2024-163J,2026-08-16T16:44:54.761856,15.41527402,.00052489,52.9857,344.0693,17.4038,342.7144,0,U,62372,999,10428,.22547653E-3,.9212E-4,0
SPACEMOBILE-005 DEB,2024-163K,2026-08-16T18:10:39.351360,15.35183937,.00070171,52.9767,359.4239,348.9991,11.0855,0,U,62373,999,10742,.21044217E-3,.6919E-4,0
SPACEMOBILE-006,2025-309A,2026-08-16T18:51:16.081056,15.18771581,.00099168,52.9955,54.0165,327.4724,32.5657,0,U,67232,999,3580,.10565174E-3,.1904E-4,0
SPACEMOBILE-008,2026-139A,2026-08-16T20:30:06.292800,15.12893029,.00048083,52.9970,347.1203,134.3126,225.8260,0,U,69589,999,916,.57052051E-4,.714E-5,0
SPACEMOBILE-009,2026-139B,2026-08-16T14:15:35.710848,15.12788284,.0005109,52.9962,348.3376,132.0958,228.0469,0,U,69590,999,912,.58505903E-4,.738E-5,0
SPACEMOBILE-010,2026-139C,2026-08-16T14:25:02.542368,15.12635902,.00054361,52.9966,348.3820,123.7648,236.3862,0,U,69591,999,913,.10104037E-3,.1486E-4,0
SPACEMOBILE-013,2026-179A,2026-08-16T13:13:40.287936,15.13022549,.00061082,52.9951,277.0562,15.5881,344.5297,0,U,100240,999,170,.4485978E-4,.499E-5,0
SPACEMOBILE-012,2026-179B,2026-08-16T13:11:52.060704,15.13192967,.0006352,52.9952,277.0469,21.8426,338.2835,0,U,100241,999,170,.53166046E-4,.652E-5,0
SPACEMOBILE-011,2026-179C,2026-08-16T13:10:44.057856,15.13298297,.0006227,52.9960,277.0456,26.8003,333.3309,0,U,100242,999,170,.43818225E-4,.486E-5,0
