OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SPACEMOBILE-003,2024-163A,2026-08-14T10:41:54.668832,15.20681422,.0003059,52.9766,41.5481,310.8811,49.1918,0,U,61045,999,10663,.21453E-4,.152E-5,0
SPACEMOBILE-005,2024-163B,2026-08-15T17:51:41.048640,15.20714123,.0007513,52.9777,35.5464,306.6412,53.3890,0,U,61046,999,10682,.27044E-3,.5703E-4,0
SPACEMOBILE-001,2024-163C,2026-08-14T21:18:59.769792,15.20520705,.00054416,52.9728,39.1776,309.2955,50.7556,0,U,61047,999,10669,.68399534E-4,.1189E-4,0
SPACEMOBILE-002,2024-163D,2026-08-13T16:35:53.693088,15.20528778,.00039888,52.9733,44.7660,291.9988,68.0582,0,U,61048,999,10651,.43847661E-3,.9401E-4,0
SPACEMOBILE-004,2024-163E,2026-08-13T17:42:31.693248,15.20526923,.00060861,52.9739,44.3062,327.2665,32.7951,0,U,61049,999,10652,.39988451E-3,.8544E-4,0
SPACEMOBILE-001 DEB,2024-163F,2026-08-15T17:51:14.948064,15.35873700,.0007586,52.9955,359.1920,3.4085,356.6966,0,U,62369,999,9565,.1508E-3,.4962E-4,0
SPACEMOBILE-002 DEB,2024-163G,2026-08-15T19:13:55.272288,15.44875151,.0007297,52.9431,340.8879,24.4535,335.6814,0,U,62370,999,10757,.30596E-3,.14205E-3,0
SPACEMOBILE-003 DEB,2024-163H,2026-08-15T18:03:01.610208,15.42596328,.0007611,52.9711,348.6363,351.2167,8.8702,0,U,62371,999,10107,.29925E-3,.12832E-3,0
SPACEMOBILE-004 DEB,2024-163J,2026-08-15T17:24:30.087072,15.41507684,.0005122,52.9862,348.6831,14.7182,345.3970,0,U,62372,999,10413,.21111E-3,.8592E-4,0
SPACEMOBILE-005 DEB,2024-163K,2026-08-15T18:44:27.364128,15.35168865,.000692,52.9766,4.0136,345.3983,14.6817,0,U,62373,999,10727,.20472E-3,.6717E-4,0
SPACEMOBILE-006,2025-309A,2026-08-15T06:31:46.635456,15.18764811,.00098065,52.9951,60.9518,322.1990,37.8314,0,U,67232,999,3557,.87994238E-4,.1531E-4,0
SPACEMOBILE-008,2026-139A,2026-08-15T17:32:54.993120,15.12890312,.000488,52.9970,352.2196,131.2916,228.8496,0,U,69589,999,899,.40297E-4,.416E-5,0
SPACEMOBILE-009,2026-139B,2026-08-15T17:38:50.208576,15.12785978,.000518,52.9960,352.2368,129.4230,230.7220,0,U,69590,999,899,.44508E-4,.489E-5,0
SPACEMOBILE-010,2026-139C,2026-08-15T17:48:09.624384,15.12630779,.0005463,52.9966,352.2806,121.0497,239.1031,0,U,69591,999,900,.71047E-4,.955E-5,0
SPACEMOBILE-013,2026-179A,2026-08-15T10:16:37.457184,15.13020274,.00059375,52.9960,282.1568,12.9461,347.1681,0,U,100240,999,153,.39509483E-4,.404E-5,0
SPACEMOBILE-012,2026-179B,2026-08-15T10:15:00.157824,15.13189901,.00062603,52.9955,282.1475,19.1432,340.9793,0,U,100241,999,153,.42017385E-4,.451E-5,0
SPACEMOBILE-011,2026-179C,2026-08-15T10:13:58.819872,15.13296685,.00061514,52.9963,282.1468,23.6737,336.4536,0,U,100242,999,153,.40439606E-4,.425E-5,0
BLUEWALKER-3,2022-111AL,2026-08-14T23:11:00.199392,15.38922080,.0006333,53.2286,117.8787,18.4293,341.6940,0,U,53807,999,21925,.11118E-3,.3951E-4,0
